class_name          timestamp
car                 2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
truck               2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
motorcycle          2025-05-23 06:16:13
person              2025-05-23 06:16:13
truck               2025-05-23 06:16:13
car                 2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
truck               2025-05-23 06:16:13
motorcycle          2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
truck               2025-05-23 06:16:13
person              2025-05-23 06:16:13
car                 2025-05-23 06:16:13
person              2025-05-23 06:16:13
truck               2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
motorcycle          2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
car                 2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
truck               2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
person              2025-05-23 06:16:13
potted plant        2025-05-23 06:16:13
person              2025-05-23 06:16:13
car                 2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
truck               2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
car                 2025-05-23 06:16:14
person              2025-05-23 06:16:14
car                 2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
truck               2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
motorcycle          2025-05-23 06:16:14
person              2025-05-23 06:16:14
car                 2025-05-23 06:16:14
truck               2025-05-23 06:16:14
person              2025-05-23 06:16:14
bus                 2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
car                 2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
truck               2025-05-23 06:16:14
motorcycle          2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
truck               2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
car                 2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
truck               2025-05-23 06:16:14
person              2025-05-23 06:16:14
truck               2025-05-23 06:16:14
person              2025-05-23 06:16:14
motorcycle          2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
person              2025-05-23 06:16:14
car                 2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
car                 2025-05-23 06:16:15
car                 2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
car                 2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
motorcycle          2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
car                 2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
motorcycle          2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
car                 2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
motorcycle          2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
truck               2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
person              2025-05-23 06:16:15
car                 2025-05-23 06:16:16
truck               2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
motorcycle          2025-05-23 06:16:16
person              2025-05-23 06:16:16
truck               2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
car                 2025-05-23 06:16:16
truck               2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
truck               2025-05-23 06:16:16
motorcycle          2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
car                 2025-05-23 06:16:16
truck               2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
truck               2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
motorcycle          2025-05-23 06:16:16
person              2025-05-23 06:16:16
car                 2025-05-23 06:16:16
truck               2025-05-23 06:16:16
person              2025-05-23 06:16:16
motorcycle          2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
person              2025-05-23 06:16:16
truck               2025-05-23 06:16:16
car                 2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
motorcycle          2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
car                 2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
motorcycle          2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
car                 2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
motorcycle          2025-05-23 06:16:17
person              2025-05-23 06:16:17
motorcycle          2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
car                 2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
motorcycle          2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
car                 2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
truck               2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
person              2025-05-23 06:16:17
truck               2025-05-23 06:16:17
motorcycle          2025-05-23 06:16:17
person              2025-05-23 06:16:17
car                 2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
truck               2025-05-23 06:16:18
motorcycle          2025-05-23 06:16:18
person              2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
car                 2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
motorcycle          2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
car                 2025-05-23 06:16:18
truck               2025-05-23 06:16:18
motorcycle          2025-05-23 06:16:18
person              2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
car                 2025-05-23 06:16:18
person              2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
motorcycle          2025-05-23 06:16:18
person              2025-05-23 06:16:18
truck               2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
person              2025-05-23 06:16:18
car                 2025-05-23 06:16:19
person              2025-05-23 06:16:19
truck               2025-05-23 06:16:19
person              2025-05-23 06:16:19
truck               2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
motorcycle          2025-05-23 06:16:19
person              2025-05-23 06:16:19
motorcycle          2025-05-23 06:16:19
person              2025-05-23 06:16:19
car                 2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
truck               2025-05-23 06:16:19
person              2025-05-23 06:16:19
truck               2025-05-23 06:16:19
person              2025-05-23 06:16:19
motorcycle          2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
person              2025-05-23 06:16:19
truck               2025-05-23 06:16:19
car                 2025-05-23 06:16:19
